"outcome","gene7712","gene10119","gene4775","gene11576","gene928","gene8105","gene9404","gene12399","gene2621","gene10033","gene12062","gene7436","gene8134","gene6557","gene11817","gene5327","gene8716","gene9037","gene659","gene5831","gene314","gene12120","gene2808","gene6233","gene9641","gene4864","gene11118","gene9035","gene8911","gene8488","gene12129","gene10869","gene829","gene12139","gene12476","gene9746","gene7815","gene6553","gene10864","gene8164","gene7667","gene10289","gene9112","gene12504","gene10379","gene11203","gene8370","gene11586","gene5757","gene563","gene12343","gene2238","gene8121","gene273","gene9140","gene4820","gene10337","gene3743","gene9001","gene7006","gene11349","gene7274","gene5698","gene10073","gene1806","gene6777","gene11453","gene11765","gene4899","gene745","gene2743","gene251","gene9700","gene8128","gene1010","gene7894","gene9681","gene149","gene4997","gene3941","gene10612","gene11855","gene8428","gene4886","gene4253","gene9849","gene11098","gene7272","gene1217","gene819","gene9211","gene4088","gene7259","gene554","gene9673","gene8136","gene2658","gene8304","gene7111","gene640","gene7535","gene8394","gene1909","gene9823","gene6765","gene8516","gene4923","gene12259","gene9812","gene11651","gene8038","gene10206","gene9940","gene728","gene9865","gene404","gene3312","gene11948","gene5693","gene10911","gene302","gene3152","gene10539","gene7218","gene12101","gene3271","gene10667","gene9254","gene4678","gene2295","gene8156","gene6998","gene2982","gene11398","gene9444","gene5064","gene4753","gene7082","gene5388","gene5509","gene3910","gene8489","gene11433","gene6517","gene5101","gene4380","gene8403","gene7368","gene9398","gene7554"
"t72","tumour",8.1829044082073,4.11298889134536,6.80400334545039,7.98834129627725,4.31025401023092,4.37507891297112,5.34605916466219,4.66783524144943,5.05399871904972,4.30110368299266,5.11797759343434,6.29747408125502,6.61683902411727,6.66546231466636,6.27907222068323,2.87721550710263,4.87957202703741,4.89679386335573,4.41658206667021,6.28719327882453,7.06547201637093,8.0494442933931,6.62002289642081,7.60867426525712,5.5108330533117,3.78865439116859,5.70264264276698,6.00906463828666,4.05901015415369,4.36732168933202,2.70650274249032,3.82304580575433,7.54594150359925,5.33940913301928,4.19528716633828,2.93991891825797,7.61702260148965,7.65370404587037,6.41675481189197,6.57220020888816,2.97177506938857,4.59493445784591,6.48920287223975,4.18577647816358,6.63078447186208,5.50513812958436,3.62513555904963,5.32993489033141,5.24834711640157,6.24312343531872,3.58679202066479,6.72022732827244,7.07990554524044,5.37987418733385,7.25575103436917,8.36862370030201,4.88046881225949,5.58982831935341,4.2683289971441,3.27917897775214,4.55386766267934,7.28792280314567,4.12660244646814,5.26847337779818,5.57615461291597,2.86941060879262,4.69029183498337,4.96794492280015,3.97878073402191,7.41789861551629,3.51900858909029,5.31381342487859,2.98379283834683,6.83254608083973,4.59830559729465,3.72643803530711,4.37418321521208,5.49070244891393,2.78898745890054,5.88704274870935,4.09518933567556,4.65621495379983,2.72719879270534,4.19356349035721,5.52899070854115,7.4133625868447,4.32731329639067,4.80459399492212,7.38061820732094,4.22377571768828,3.81610283424397,3.90863811535199,8.14288045242742,7.29443260495427,5.10650145422206,3.92154229138942,5.56349097253944,5.00517575609427,4.53100259930731,4.19495119919916,2.66481720310571,5.85685825798556,6.27820960543877,6.09804484774636,4.00556851990116,2.93433984699406,5.04654776680067,3.49017459209623,3.68884523658300,4.93189309972489,3.54902586620126,5.13615893801327,3.1322571898072,5.54922361160637,5.83822765295848,4.63794974251806,6.46409979212315,5.92375955014576,2.77443744671489,4.55199629785873,4.90274797448986,3.62710152610077,7.6161147666002,2.47454477031337,5.85811185286784,3.02435484581847,6.1723345223779,4.08134673886766,7.30005577526594,7.90033158532939,4.43011742259222,9.49924270544058,2.59090043742126,5.4730917219619,2.99925542212475,6.61960968317754,5.23820143282854,5.0548159159403,7.04839719428724,2.76380860768663,3.88940829058387,3.00350486753666,4.88728888191123,3.29159386328718,3.64688282650165,3.8885596701136,4.09330402740906,6.63323998753267,3.23564971473019,2.79846296276281
"n32","normal",8.74366107252395,3.55509769504143,6.46871978550824,8.80642532047684,3.77331288107625,3.85536902259707,4.7737912521946,4.81025044210832,4.64710595002088,4.04883664955435,4.83764895736361,8.94525695165838,6.18772539424464,6.55013231779805,6.6154625462758,2.84985017791012,5.30713906560499,4.55489124426408,4.39904968623585,6.37931740132373,6.47573500111845,8.15647569436368,6.38558733416184,7.51937182831321,5.08261551000696,4.07821913833199,5.36597237294676,6.10735512281097,3.08354617401701,4.25072193977798,2.69616682803803,3.5111568940945,7.6486813479078,5.25488337131312,2.78655914894312,2.81284541984265,7.53668912795687,5.45240894260829,6.14766796108464,6.64502613555387,2.82884731187219,4.42968805794605,6.70530337161997,3.60125836969914,5.72886567498542,5.31976006210404,3.13174221730756,5.01760674700424,5.02317541898792,5.77941209445262,3.41103349700872,6.88128741217907,7.04236825609565,5.91870717097107,7.40218344778929,8.90867748542852,4.53427811809922,5.67022536144143,3.88745352775964,2.60007397879223,4.01588108460074,6.9216161627408,3.72868476173047,4.75206113483538,4.96993640233211,2.62015580352688,4.32073323051198,4.78942676969701,4.16519744126314,7.07232639834196,3.87398526791631,4.96024193200722,3.68683999830153,6.4093257826018,4.61531942191455,3.56502863932664,4.06549427421541,5.31508485413713,2.89567632541630,7.50389697215481,4.11150322035779,5.0816509573449,2.57707772779469,4.67129486876568,5.90652391799656,8.97089448092419,4.12600775002919,4.91092984708529,7.17096800975807,4.17052600396615,3.56683749378435,5.928680385848,8.09373820139925,6.95261309535829,5.12080654302798,3.62518305934860,5.58047304666292,4.50668280738987,5.35361396757798,3.57092427645276,2.49461594758624,6.10890956841379,6.3026694741899,7.12998119624666,3.12886972567465,3.14733586800246,6.35301158293414,3.17873757554111,3.81040602619958,5.48826057474956,3.60382857316143,4.86579232194745,2.88824547424952,5.80500219964646,5.84330986941752,4.83445721900307,6.43513043261157,6.09580068271806,2.5151771756071,4.05721521829582,4.48969278250494,4.142311029267,7.79367609919649,2.3708539519665,5.59485373152443,2.85428609368531,7.6916480547687,4.47989428207644,6.88287709954384,5.46085542188716,4.9001075039902,11.1501703818824,2.47168214894002,5.23001856786137,2.79532866682882,9.6211193754512,4.69466415075606,4.75022124917686,7.29661711062889,2.49368918161189,3.46974177729203,2.87263769018068,4.61418345164729,3.13436094889998,3.18462404288663,3.69010996017546,4.74509659212649,6.37911049175154,3.28223286631350,2.64807891545956
"n9","normal",7.86904802414784,4.32182926136756,7.04288162363136,4.77504611585678,4.80218489024857,4.32414063312793,5.61650262286332,4.75564840549873,5.60141872983201,4.31981869461995,5.08583842123703,5.24923442022098,6.7843714343118,6.34032721297022,5.96092377641969,3.16352629091863,5.2682694847422,5.19698795593923,4.32071334546248,6.67570517644562,7.29081697551687,8.38123051564376,7.04098255122662,6.92103964868371,5.93645024788486,4.29828839058260,5.97681806707422,6.42505011176703,2.71276685156176,4.16072042603095,2.90494287802404,4.19755419198884,4.59601787510897,3.08934692783398,2.86067010840165,3.40673170655254,7.11421767075209,4.67658332282086,6.63311535165668,6.5780800716745,3.01728052382252,4.86273618291595,6.92908166291907,3.97421162769769,6.64103933446257,5.81104775102359,3.94281965495016,5.69836759771264,5.61774911985074,5.00392079145896,3.73222609476744,6.9302094313941,7.09715979067998,5.63618106565385,7.61686870423164,7.25009788743571,5.46255121840118,5.53387602979661,4.86800927728831,3.23958517149771,3.22407363968454,7.32024160989923,4.23329580235708,5.01309382003432,5.7746344813278,2.70761107392532,4.96766443852966,5.36880538398655,4.15602548389489,7.44094899649119,4.21557664035758,5.3494525914132,2.92302264985662,7.14444761827798,4.62920268291068,4.05790813997615,4.58053941782693,5.8573179607062,2.96826726490186,4.86222076880117,4.328729715726,4.95497746767795,2.96603255985855,2.82388087549816,4.97781761802225,4.97217000157724,4.33345824669059,4.94902322812825,7.64867528889509,4.3631921299416,3.61702035843229,3.96571440855127,8.50528524721299,6.74956026982434,5.20693635222023,3.71508877602344,5.42545836214823,5.31713278753606,4.32280850096109,4.36266354513688,2.65713228704138,6.09714535459516,6.43432357924446,6.31936090197186,3.81351192647735,2.86230744219689,4.72914813379856,3.49989094644162,3.43347929760797,4.93674093652949,3.08523341318865,4.9595328694815,3.12045150277839,5.89399242759138,6.21309958961977,4.90641099423368,6.7426817534765,6.0020544153669,2.71980145621368,4.42408416419697,5.16038762964519,3.95311237919717,7.89511785274329,2.52460304111865,5.79000943012636,3.29366830124441,4.29590744066826,3.6812272342812,7.60642222708397,5.91870880467987,4.53204766644818,7.65691621082242,2.56002982061246,5.50952147114424,2.93777500104862,6.95138739925232,5.41025908431486,3.57889956481788,7.03268396642403,3.12818657061,3.9742984205559,2.57959535753574,5.01923046358253,3.46363105762489,3.61635129473264,3.68893429148086,4.02423216165654,6.86408539104047,3.27555179089284,3.01304101500891
"t99","tumour",9.14700939569053,3.66462596460937,6.56720583768682,8.59349819934804,4.00585614389165,4.13249807169936,4.69492324874548,4.30041351232026,4.25099377862981,3.8276105467243,4.66697767133619,6.81896117274252,6.82077143433689,7.22543082485857,6.69699053176338,2.68633554973424,5.7941630715697,4.69769507898303,3.97357175867247,6.54042954056806,6.66725219167225,8.55715009282426,6.80761272067986,7.29323809015154,5.10963106034993,4.04939979620017,6.48205476865269,6.89602274600239,6.21183290973702,4.32941275776447,2.72055575171028,3.87958971561661,8.53971443505052,4.44061790610712,3.6730003930567,2.99402937170984,7.24335397749061,6.21407255575425,6.39428375888828,7.72582970668188,2.8854156293044,4.70518788807887,7.06505654907141,3.65984900677658,7.63103745692253,5.31423671876325,2.95287467091574,5.12612002398197,4.79269712060647,6.08332139449534,3.11438860625874,6.87319771415385,6.78786547792455,6.581793227227,7.87733117606378,8.74074556420998,4.51676671495531,5.89747265054076,4.37721376908446,3.07116030167003,4.50113878447824,6.77544503245084,3.9546323520422,5.16889225830474,5.34888056929874,2.59370936617289,4.45666879050808,4.79549865477035,3.7922973486475,6.90291773710047,4.01474862835261,5.18950063303796,3.38210734558620,6.58989388527295,4.4281262243352,3.65954674488673,4.43762054792157,5.7099755383017,2.80365012064074,7.58967682606533,3.90181811164544,4.98379627652355,2.50379026279852,4.94387411202131,6.51219849893036,8.0710135948222,4.56444477566513,5.89039307537289,7.2396139363223,4.17363119412806,3.74422809147181,4.62386668773735,8.24408464919536,7.55273077147527,5.13546003103207,3.39031316711647,5.43835425023052,4.91944737477257,5.06538465842148,3.67031499780891,2.55541739471331,6.24348798605024,6.43453968940561,6.61988053203836,3.52571503709908,3.18599538555005,6.63978665209627,2.96902683640203,3.84760973998591,5.37047262549892,3.34107192963754,5.33063956873796,3.22925978371666,5.22842959928637,6.37704922786556,4.99829241934006,6.45461094076759,6.17680221602791,2.60190847112566,4.04171305568705,4.66140048053506,4.17070202398143,7.00677963322763,2.4996426619866,5.15718318125249,2.80817748678919,7.67650568200671,4.5207891561403,6.89806314416866,6.55616642976234,4.74308196994261,11.9570196692163,2.60039002912764,5.07220294682225,2.80746841821317,8.3089965931523,4.83358592620221,5.61200844467077,7.38748284457057,2.86125332568032,3.39723846789569,2.66836561686581,4.74610649376427,2.91556132007309,3.42750453621710,3.44900242469136,4.20039559667564,6.33152279554343,3.74851199280073,2.98118383483492
"t67","tumour",7.85136716957019,3.97555486409574,6.9731078186964,4.82346539059499,4.86989886650397,4.31965519780277,5.20155404452457,4.76472455804848,5.24460911522117,4.50618791152076,5.267820494002,5.19350228250421,6.81423303922615,6.39690370717554,5.87564970797664,2.77904605495731,5.27330268623363,5.18332034012715,4.45049698118546,6.29809718789233,7.34145476529666,8.34606784453625,6.89680156067348,6.87381213298409,5.68142485105254,4.14154938482178,5.61836288450365,6.27709500869082,2.67435049845025,4.13551740769352,2.69586424728752,3.70707593481354,4.49132537250736,2.93996794547566,2.58352668768927,3.10427159172854,7.46150455683064,4.7285738757883,6.5893467548246,6.23860938671305,3.37657473280204,4.65136228334125,7.03687837528305,4.19333419070953,6.67903395091262,5.69855077595692,3.73828393397926,5.47368341907797,5.6141732681328,5.10830698283868,3.69393535254568,6.86422903874235,7.35277150337682,5.52077579595027,7.76534619404357,6.98825938806844,5.20919555030052,5.50759940834047,4.60159490216483,3.39225168083934,3.36777837742387,7.35243634714217,3.69674113465771,5.33526894516192,5.50002681611167,2.76553698246816,4.84040083636024,5.03233649278132,4.20167802991874,7.96686966924867,3.82101894571215,5.28518369076413,2.86861410446443,7.12285586759517,4.40787986854639,3.96358767174495,4.5489903350984,5.94043803310282,3.22437575812635,5.412117952613,4.39599298812087,4.95422497275824,2.74691320858390,2.70938228943577,5.24778570296764,5.91588183883182,4.43107326210384,5.18925740498176,7.50886479990947,4.06881761380052,3.62404337377071,3.6413484856861,8.48279062198683,6.92125261018219,5.30872565722983,4.30130606208995,5.28337476309198,5.14401650775527,4.61094658413814,4.13837365664955,2.6146389040189,6.23299428038717,6.39082605502437,6.21124935971423,3.95019465951915,3.09074211563376,4.30852056316097,3.43361161648087,3.88317348209990,4.93960897105519,3.23835158990658,4.85664264352131,3.32516461068558,5.80371711774491,6.3182030978541,4.86004029529721,6.5834342677472,6.2397562859258,3.08570842773745,4.71672784684429,5.22434045791492,4.14074464437623,7.79274436982947,2.33003628089154,5.97243233164123,2.69735341764881,5.91072670954051,3.93890747273536,7.62730202357427,5.81838669301832,4.23051924009808,9.54468786809708,2.58358390237206,5.76259732326637,2.85995463726552,6.84921688075786,5.21793188256535,3.89884850196743,6.87555533339272,2.91026124241762,3.98273096624052,2.81525258676323,5.3945873757285,3.1728700591122,3.77679260542781,3.69856155744054,4.17292115475219,6.72481704002319,3.06448747312296,2.78315983815625
"t80","tumour",8.1725114627475,4.07524891577832,7.0067177182226,5.09417347686465,4.45435646422372,4.05614721605888,5.3998678213884,4.68772356880842,4.82428959999711,4.34487530730792,5.17513896406744,5.73997872661489,6.84529550333308,6.1503383642963,6.21566416577577,2.65407069562504,5.27495750387696,5.23063714944594,4.16510413379723,6.53247467500896,7.04051583002397,8.4568076240662,6.91359698579346,6.97645849170727,5.64449027519178,3.90071926807713,5.95121110877024,6.32497659962098,2.81247577259191,4.27048833745671,2.62974691925276,3.62603618320525,4.86449306680912,3.51653292480288,2.86122655428367,3.24167501184061,7.36105849807168,4.86115731978702,6.61008497136756,6.23799975216719,3.01312736378635,4.64330221673346,7.10370392014568,3.79455839659192,6.78891695655544,5.66259885289915,3.66619482888264,5.52922459879432,5.44039437000201,5.16442756922787,3.59121766967431,6.92479966919144,7.42382002843576,5.35671635363091,7.57150354483946,7.29612901498786,4.98199377584238,5.53020876448354,4.52006563687537,3.63502915062666,3.21640568687348,7.32139284732191,3.96342856987738,5.36234631555016,5.41444411695911,2.83341564670414,4.69574870130947,5.11984596499994,4.07169773192603,7.79841316176953,3.77494660957318,5.13691332865613,3.0917109835792,6.91164523414529,4.58923650476305,3.89334218645687,4.38784618564728,5.8997425187256,2.86363389636563,5.00812696508874,4.26309538295472,4.62327419885591,2.73981933413930,3.97002234923512,4.81085062826728,6.96944347495187,4.24733515526318,5.18898288831963,7.47871900680632,4.14913476105450,3.75534188294064,3.73655606794789,8.56949368157659,7.05251446258386,5.24412631086897,4.20905814084639,5.68254712345838,4.97709060926988,4.41096214431433,4.04899365551455,2.69313709171658,6.20543891307671,6.20302083033402,6.38489906233371,3.82728925970537,3.22949926566056,5.15364728817043,3.62168402010296,3.53538388397786,4.81322016636266,3.35299711577377,4.94073134698246,3.39175512886563,5.9374509072293,6.1960755138862,4.71381081757096,6.66900611314919,6.17243942483013,2.89405875477941,4.55187089734152,5.01036693360315,3.76310126592096,7.5054204563044,2.3655987336388,6.07004175061099,3.37912842524583,5.45952132887156,3.63414058587932,7.53167785833771,5.50210938521543,4.43499643959052,8.64652785041398,2.45827802051833,5.5460871896333,2.99662876331544,7.1778242922058,5.03828875782385,3.87743666920531,6.97814963210374,3.05057560889193,4.08085277706596,2.72002014577894,4.9277433664871,3.34734435690356,3.4798900279369,3.71158017145365,3.93783738119263,6.43854161101336,3.16009854638321,3.20949581783155
"n12","normal",7.37962614625282,4.73167560101802,7.03985220435637,6.56272969246413,5.21066669151989,5.03465450718594,5.90397651306353,5.14221725596378,7.25156852723255,4.9435007001666,5.03374876811604,5.82877344624066,7.65709582343737,6.7787731617871,5.38702330605525,3.19258081359921,7.2300240930026,5.22044477604755,4.43819401058934,7.0162838001806,7.28431955975592,8.88824897194465,7.19385276518548,7.02116432035742,6.09338508923606,4.16800205004937,6.42095831705196,6.78705897653981,3.56676857827814,4.29904061825678,3.06340121541518,4.93890382684519,5.33205011206848,3.91968726919304,2.72647624909063,3.46545367206928,6.75784450320706,4.99322037183648,6.52920832431681,8.80767906874079,3.08091806974843,5.30545882370705,7.17043094504453,4.0036440329731,9.45485687951372,5.74904117879421,6.34174540534592,5.59107208542698,5.5874301253343,5.36755148524575,3.8406156426239,7.2360760627902,7.42463014001596,5.22578118860149,8.28838230212337,7.90485237395861,5.20487605986568,5.49390796771333,4.83769644568567,3.97245977517103,3.66703226206856,7.17095271397112,4.45276350439959,5.64779284846367,5.69275597532616,2.86344676117405,4.864668196166,5.09802979136854,4.49879981027824,7.52825323332235,4.32853342344066,5.36923504772571,2.8309872310402,7.00396395676984,4.58340623492682,4.06192254915131,4.45470186060493,5.8311530427549,3.21731513264078,5.57183768690142,4.31001446605925,5.15012657648313,2.89445086022104,4.03881611050113,5.04215566453444,7.33011217867342,4.65580339033428,5.88149446451115,7.63095844178208,4.36525847267339,3.76443475129878,3.30498265302857,8.30018503017877,6.57705873268252,5.29466749938867,5.31764167564265,5.09951891416171,5.174097883755,4.24731269720137,4.07679306545626,2.49839511392432,5.78328777753177,6.29496406639639,6.90213127183162,3.28067433335802,3.26637016591756,6.5016990473591,2.62427096549959,3.58670505922157,5.72295869041899,3.25391531445565,5.02600211758494,2.89290448738286,5.29717353772308,6.40697192928959,4.73269893571784,6.35863001053159,5.83551826376214,2.40358408998246,4.13575898046689,4.8153283471634,3.95406954662324,7.65580029858618,2.56066717273103,5.35477816619395,2.89837313706915,8.02333998623824,4.01664813152893,7.05839945451033,5.19924140627423,4.80721810060861,12.0543686097985,2.53719649095674,5.09546831355513,2.87609905420356,7.98515406187962,4.65410934839136,4.86837299052446,7.29559426523487,2.80442220485882,3.31359606913803,2.95420503068627,4.5128625495075,3.125438668405,3.19160547397429,3.71354737553411,4.02781292136469,6.25051736110675,3.27491277125207,3.30644161296399
"t78","tumour",8.8497396655105,3.98297160853732,6.28990701288997,8.59375096787194,3.95305033510471,3.92666542698901,5.11824394821472,4.49375846273842,4.88228967982736,4.32902922918445,4.60970914681059,7.17891496183627,6.42880558354651,7.52442276807102,5.99892816333037,2.83814045821418,5.55326434303975,4.80855131019258,4.0617430844945,6.38177025152318,6.77498483467602,8.74572292924042,6.8717133339458,7.85342889435793,5.37587410012303,3.77891280355251,6.07258661152699,6.33008903790832,5.24831694448298,3.99637650613272,2.93898603350895,4.15897457603628,5.15348134684869,5.55248798555195,4.23759024925676,3.12627778906144,7.12602176246294,6.04611332208876,6.3540942728706,7.01801507469714,2.69125150167589,4.79560116380052,6.74281002056051,3.61313841765756,7.58465189535142,5.50684378147156,3.31116795839928,5.27534460517247,5.50286920773676,5.89159758443608,3.44070065504444,6.90044952794941,7.3951804189379,5.94732792938378,8.18184783998897,8.57747969625535,4.63813656152374,6.13031311201356,4.26590259868208,2.88582672685329,4.92728379877047,7.07327230067789,3.94055279769417,4.84196764235829,5.32837993900478,2.68152693781592,4.51673953132937,4.74061878812972,4.12822330984814,7.0328337924388,4.18958321922965,4.85987060495845,3.91594041747046,6.37354018876434,4.60946901679346,3.58142429837697,4.14833516603977,5.50144700588097,2.87231967320593,6.20395912993171,4.02870247867698,4.85984003700514,2.52292334365024,5.41228083178678,6.03063357865096,8.70792500509665,4.25768696586254,4.79834183946206,7.31323762210594,4.04288689320407,3.52949183853314,5.53414870374895,8.17824354800007,6.8668116478478,5.12939367594856,3.55088839850893,5.4718150000023,4.68461875791671,5.16891669757216,3.65457001727465,2.74252828995007,5.67197045415402,6.34774655832257,6.31993991400505,3.39436754030588,3.30392731309168,6.21018183034153,2.79343460528159,3.5424130637948,5.5815886894592,3.55275035752837,5.08372274120288,2.92767429586954,5.46128541245318,6.2236491644906,4.50675463211181,6.5021197603398,6.05743577010372,2.4474654585523,4.17004187400921,4.88023326616878,3.93350639508116,7.23555559384882,2.55823988784756,5.40025050247858,3.02801937198651,7.33121338065017,3.94567137534761,7.33907572720376,5.52551474901327,4.846445630544,11.4879900599213,2.38103471514599,4.88783588001981,2.86547285065483,8.55119794315034,4.81404357185979,4.50162629102402,7.25080230045765,2.63742780189249,3.42656614780368,3.02234742356387,4.39815354846029,3.00802247030463,3.12615428637020,3.38365806007204,4.2383594100446,6.36394188258461,3.45208636893563,3.1588866385631
"n26","normal",7.59407290387738,4.34653016412512,6.99259729271488,6.00988566857328,4.51445396881287,4.72216895496308,5.39714191526849,4.56736692085823,5.52067377336656,4.69944857484697,4.9236713895773,6.52845902018102,6.67356159311342,6.82774057984421,5.43262459250253,3.14489037066544,5.99712482051874,5.39474170311058,4.51521836845346,6.6818022349845,7.20736335323767,9.13186327129392,6.6969196826214,7.13734233650172,5.60055772256383,3.98462572455440,6.37017508332381,6.28912254267408,3.42133333977925,4.43159038229999,2.82230339397647,3.86783835919278,5.59441583990996,4.29475903348386,2.82696216198662,3.31760133941824,7.09658648458832,5.02784961291086,6.64451418664745,7.91678240304032,3.29531485696197,4.81556003655055,6.80191093072197,3.85137432965719,7.31937537713338,5.42416803745566,3.55939568537905,5.57071616001425,5.65765547967157,5.34038381189977,3.822177114825,7.21420524604391,7.4878461124051,5.43765340684336,8.48823890095765,8.14465366678684,4.59088342996052,5.53839599653462,4.63783825570642,3.32692701347774,3.96678246424823,7.19626563340698,4.25175902271636,5.21195303295424,6.02707425537578,2.61465591896616,4.88587618085144,5.05688443910295,4.05887871820873,7.24226850026002,4.19234366390252,5.37449923644192,2.77043581023938,6.70981537116529,4.47363984441796,4.00254561096886,4.51255321264885,5.5362539754183,3.10512481538008,5.20682768658166,4.26296402153682,5.01013148593681,2.85708216215671,4.7673642735227,5.47449310569478,7.44597777767418,4.22863977187914,5.51874165408413,7.84045877653218,4.4598616975306,3.65317636687324,3.31832468111755,8.31866364126851,6.65099407237711,5.12912875194689,3.83252070955572,5.45432577256335,4.97353534552054,5.03211268938828,4.08970770131408,2.36839677035026,5.72082292876195,6.21287545140887,5.96980448424684,3.48064762158585,3.16659015825778,6.44386527108561,2.78557134557035,3.37947169475727,5.37082637879559,3.26226692953983,4.92492992177223,2.97341307539157,5.27491317932235,6.35413479163077,4.56798238151918,6.3301739733769,6.11069333306553,2.63980309393974,4.38352316355648,4.71968524764645,3.98214762639889,7.11522657438158,2.55587081245698,5.44598750018998,2.75071633904216,7.65269971883247,3.7022116064419,7.14617281624498,5.50869069202843,4.77798501111883,11.3423785745922,2.28864760697014,5.07448165946718,2.76360862029269,8.56974377599652,4.95525339791584,4.48768197131524,7.39959883330737,2.70924435704104,3.74710567737146,2.8001534866175,4.60573785760721,3.52793145112998,3.10420389222107,3.70480939344739,4.4483267667168,6.25768235051624,3.58230572947410,3.10502514407336
"t96","tumour",8.8076572663886,3.76820985130532,6.4053572144504,8.96795898675692,3.79315412397830,3.51505000549877,4.81940992546894,4.02450489419844,4.66544551932532,3.87326106599138,4.55959512617915,8.709023225009,6.5522094928739,7.44514015408952,7.04734720520052,2.82455034476941,5.19583562450844,4.61398586028247,3.50186069861735,6.0933055940593,6.13133640047524,8.41356758069214,6.35952292744791,7.70182465393335,4.61572513316165,3.85996544732404,5.35765975579633,6.08988933846756,5.08489482479378,3.96990297780862,2.94220466307006,3.46969135319229,7.1670288415931,5.60563977497057,3.82273537211288,2.86918142401726,7.66680329135046,6.16597674890579,6.33698735793202,6.40887589218196,2.5971315526523,4.45941889012506,6.69952371728501,3.53993159459709,7.45137284682097,5.21860122491621,3.1941671930506,5.09435725470959,5.30871132456835,5.92055509607122,3.37947524772700,6.68089209402594,7.45529957782355,6.224042248612,7.70106558001536,9.77611270879896,4.87310530030572,5.63533171872191,4.19291549386627,2.69544605546038,4.85545158306797,6.62268524007907,3.8352593096389,5.24240437520667,5.17774973769335,2.46332736080066,4.33943713743678,4.64890357178615,3.57124347313992,7.0135006513974,4.15057662621288,4.85114939886957,4.20597465346338,6.41163369852683,4.45481917632236,3.13387878180707,3.66587073839458,5.36905145480422,2.74506420167438,8.06977115563993,3.92361632451598,4.38202416708956,2.59523487547106,5.52783916580517,6.33321578150899,9.13665166542264,3.94193680976636,5.06834976216049,7.48694871359077,4.27305912341364,3.35139218616495,5.26881306320021,8.24214960089199,6.75568226278215,5.18629632810182,3.78905683663782,5.59257720905701,4.39177452312791,6.17696852841003,3.70392758195872,2.7527406691791,6.52804958165539,5.96784171950291,7.76188430243691,3.08755052015847,3.37961912612931,6.31993295889162,3.11427151857177,3.82978626228549,6.090792388295,3.68181719562546,5.23444473239647,3.07332129713399,5.55730992388949,6.09839713234157,4.73713966358529,6.52565528510102,6.29038191868122,2.43137664886477,3.73761827323587,5.03015990238044,4.36688354020938,7.33665468721491,2.90039203475955,5.81733498823894,3.02642251095077,7.56580300951502,4.35543409243011,6.85838458309684,5.16987322181397,5.31712351298727,11.1770321578201,2.48616072105927,5.45283643008385,2.8273560989665,7.51764030079821,4.64786607415494,3.97185438024823,7.23238057440956,3.14124541931910,3.05426272468131,2.99358863900240,4.61311286834835,3.05271958744748,3.03659578860541,3.8328532202498,3.73494395657441,6.55682257326552,3.56594654635911,3.35993460987184
